"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"1","110080030","451","192436.05620538","552336.95498254","41","52201","N","20231116120041"
"2","110080031","452","191972.54288665","554384.19107578","54","52202","N","20231017120007"
"3","110080032","453","195705.68084358","555164.49557405","56","52201","N","20231111120009"
"4","110080033","454","195646.35573731","555661.51678319","57","52201","N","20231111120009"
"5","110080034","455","191543.20535296","555165.58938338","55","52201","N","20231024120006"
"6","110080037","456","192199.01992356","558500.80368084","60","52201","N","20231013120007"
"7","110080040","459","193244.57714397","558364.76722062","62","52201","N","20231012120004"
"8","110080041","460","194057.78057944","550975.18514418","22","52201","N","20231009120013"
"9","110080042","461","193845.81920073","551193.42250527","23","52201","N","20231016120009"
"10","110080043","462","191722.67255349","554041.52630086","58","52201","N","20231015120025"
"11","110082343","463","196289.60231043","545591.39494055","000046","52201","N","20231118120007"
"12","110082344","464","197261.72519054","544969.57239525","000047","52203","N","20231025120007"
"13","110082345","465","197132.24969037","545006.20131538","000048","52201","N","20231025120007"
"14","110082347","467","194341.80724146","545430.42730696","000050","52205","N","20231026120008"
"15","110082348","468","197455.88111075","545034.26081937","000051","52201","N","20231118120007"
"16","110082350","470","192593.84228178","543079.03712671","000019","52201","N","20231022120010"
"17","110082351","471","193186.82876573","542426.59674195","000020","52202","N","20231013120007"
"18","110082352","472","193852.80151601","543524.59933744","000021","52201","N","20231102120007"
"19","110082355","475","196350.54577884","543390.88389461","000023","52201","N","20231118120007"
"20","110082356","476","196345.61053107","542789.69414749","000026","52201","N","20231119120004"
"21","110082357","477","194364.99544837","540722.31196675","000056","52201","N","20231119120004"
"22","110082358","478","193947.64748410","541224.11765822","000031","52201","N","20231119120004"
"23","110082362","482","192109.40640724","543252.92775012","000077","52201","N","20231112120003"
"24","110082363","483","197325.52625641","544999.00866826","000079","52201","N","20231025120007"
"25","110082364","484","197756.97148825","542089.85226098","000082","52201","N","20231111120009"
"26","110080571","661","199709.07465413","552150.76257920","4-32","52201","N","20231027120009"
"27","110080104","662","191707.75812769","557464.87580328","9","52201","N","20231116120041"
"28","110080108","663","192365.62948720","558790.31428712","13","52201","N","20231013120007"
"29","110080621","488","198835.46357805","551039.55000754","000260","52201","N","20231026120008"
"30","110081072","490","205881.88651251","548361.89239124","000041","52201","N","20231026120008"
