,연번,비상소화장치일련번호,일련번호,X좌표,Y좌표,비상소화장치고유번호,사용구분,삭제여부,업데이트날짜,위도,경도,도로명주소
0,1,110080030,451,192436.05620538,552336.95498254,41,52201,N,20231116120041,37.570542820324434,126.9143790416038,서울 서대문구 남가좌동 295-5
1,2,110080031,452,191972.54288665,554384.19107578,54,52202,N,20231017120007,37.588984348035225,126.90910983392715,서울 은평구 증산동 131-111
2,3,110080032,453,195705.68084358,555164.49557405,56,52201,N,20231111120009,37.596039805648054,126.95137336075969,서울 서대문구 홍은동 9-249
3,4,110080033,454,195646.35573731,555661.51678319,57,52201,N,20231111120009,37.600517642130285,126.9506986396432,서울 서대문구 홍은동 8-1548
4,5,110080034,455,191543.20535296,555165.58938338,55,52201,N,20231024120006,37.5960208309644,126.90423968355844,서울 은평구 신사동 237-1
5,6,110080037,456,192199.01992356,558500.80368084,60,52201,N,20231013120007,37.626076505043514,126.91163022715911,서울 은평구 갈현동 285-386
6,7,110080040,459,193244.57714397,558364.76722062,62,52201,N,20231012120004,37.62485911125063,126.92347558169996,서울 은평구 불광동 480-175
7,8,110080041,460,194057.78057944,550975.18514418,22,52201,N,20231009120013,37.55828521981003,126.9327473604666,서울 서대문구 창천동 68-33
8,9,110080042,461,193845.81920073,551193.42250527,23,52201,N,20231016120009,37.56025013975677,126.9303466027321,서울 서대문구 창천동 265
9,10,110080043,462,191722.67255349,554041.52630086,58,52201,N,20231015120025,37.58589475500564,126.90628457366566,서울 은평구 증산동 92-84
10,11,110082343,463,196289.60231043,545591.39494055,000046,52201,N,20231118120007,37.50978891942538,126.95803377496611,서울 동작구 흑석동 186-63
11,12,110082344,464,197261.72519054,544969.57239525,000047,52203,N,20231025120007,37.50418966227235,126.96903122385858,서울 동작구 흑석동 294-6
12,13,110082345,465,197132.24969037,545006.20131538,000048,52201,N,20231025120007,37.50451929782551,126.96756676597144,서울 동작구 흑석동 287-11
13,14,110082347,467,194341.80724146,545430.42730696,000050,52205,N,20231026120008,37.50832871300055,126.93600460713391,서울 동작구 노량진동 295-10
14,15,110082348,468,197455.88111075,545034.26081937,000051,52201,N,20231118120007,37.50477306367343,126.97122682452898,서울 동작구 흑석동 277-10
15,16,110082350,470,192593.84228178,543079.03712671,000019,52201,N,20231022120010,37.48713019291381,126.91625842096838,서울 관악구 신림동 500-9
16,17,110082351,471,193186.82876573,542426.59674195,000020,52202,N,20231013120007,37.48125621677477,126.92296936126529,서울 관악구 신림동 440-41
17,18,110082352,472,193852.80151601,543524.59933744,000021,52201,N,20231102120007,37.491153972305455,126.93048976876403,서울 관악구 봉천동 711-88
18,19,110082355,475,196350.54577884,543390.88389461,000023,52201,N,20231118120007,37.48996242772243,126.95873398451721,서울 관악구 봉천동 1-76
19,20,110082356,476,196345.61053107,542789.69414749,000026,52201,N,20231119120004,37.48454564146384,126.95868116294847,서울 관악구 봉천동 23-17
20,21,110082357,477,194364.99544837,540722.31196675,000056,52201,N,20231119120004,37.465908380743066,126.93630289821999,서울 관악구 신림동 254-213
21,22,110082358,478,193947.6474841,541224.11765822,000031,52201,N,20231119120004,37.47042706484682,126.93158115263448,서울 관악구 신림동 388-12
22,23,110082362,482,192109.40640724,543252.92775012,000077,52201,N,20231112120003,37.48869294999168,126.9107790370156,서울 동작구 신대방동 616-3
23,24,110082363,483,197325.52625641,544999.00866826,000079,52201,N,20231025120007,37.50445507162696,126.96975268091218,서울 동작구 흑석동 산 88-37
24,25,110082364,484,197756.97148825,542089.85226098,000082,52201,N,20231111120009,37.478244506930004,126.97464103119215,서울 동작구 사당동 446-43
25,26,110080571,661,199709.07465413,552150.7625792,4-32,52201,N,20231027120009,37.56889623786287,126.99670690823982,서울 종로구 예지동 134-2
26,27,110080104,662,191707.75812769,557464.87580328,9,52201,N,20231116120041,37.616738637413924,126.90607694610469,서울 은평구 구산동 307-4
27,28,110080108,663,192365.6294872,558790.31428712,13,52201,N,20231013120007,37.628686352322255,126.91351456175134,서울 은평구 갈현동 12-432
28,29,110080621,488,198835.46357805,551039.55000754,000260,52201,N,20231026120008,37.55888356339281,126.98681994497069,서울 중구 남산동2가 23-1
29,30,110081072,490,205881.88651251,548361.89239124,000041,52201,N,20231026120008,37.53473988082061,127.06654887132036,서울 광진구 자양동 48-7
30,31,110081074,491,207768.6406147,552009.62303858,000057,52201,N,20231109120021,37.5675918742989,127.08793457859389,서울 광진구 중곡동 176-93
31,32,110081075,492,202356.19608715,549917.65593145,000052,52201,N,20231110120028,37.548773046626096,127.02666348446567,서울 성동구 금호동1가 1500
32,33,110081076,493,204580.9494283,548562.94395251,000058,52201,N,20231012120004,37.53655873321231,127.05183106213073,서울 성동구 성수동2가 816-4
33,34,110081077,494,204993.89286931,549045.95164942,000050,52201,N,20231019120009,37.54090848834259,127.05650658450494,서울 성동구 성수동2가 309-50
34,35,110081078,495,206972.55575002,548578.43053105,000055,52201,N,20231111120009,37.53668329045938,127.07889097230964,서울 광진구 자양동 222-16
35,36,110081079,496,202723.39004127,551056.74235541,000051,52201,N,20231105120007,37.55903517827099,127.0308229972864,서울 성동구 행당동 311-1
36,37,110081083,498,205892.94783464,548397.91873844,000060,52201,N,20231026120008,37.53506440768163,127.0666743102945,서울 광진구 자양동 553-19
37,38,110081084,499,206413.1317858,549565.63828243,000063,52201,N,20231022120010,37.545582082325296,127.07256999597845,서울 광진구 화양동 97
38,39,110080614,500,198396.74605418,550725.00734155,000252,52201,N,20231101120003,37.55604888380215,126.98185529079991,서울 중구 회현동1가 147-4
39,40,110081086,502,207054.87218721,551908.06817515,000064,52201,N,20231027120009,37.56668261133763,127.07985434182662,서울 광진구 중곡동 191-86
40,41,110081087,503,206530.2166106,550720.68227449,000066,52201,N,20231105120007,37.55598817937579,127.07390518363597,서울 광진구 군자동 159
41,42,110081088,504,208133.22773725,549852.60751934,000059,52201,N,20231107120010,37.54815410248526,127.09203749097077,서울 광진구 구의동 60-8
42,43,110081090,506,206935.15377069,548428.95503324,000068,52201,N,20231109120021,37.53533679851236,127.07846637689535,서울 광진구 자양동 229-33
