시점,동,전체인구,65세이상 인구
2021,풍납1동,13451,2737
2021,풍납2동,24953,3821
2021,거여1동,12614,2414
2021,거여2동,18806,3550
2021,마천1동,19071,4211
2021,마천2동,18866,4058
2021,방이1동,15766,2246
2021,방이2동,27015,3544
2021,오륜동,18079,2856
2021,오금동,38654,6393
2021,송파1동,24176,3460
2021,송파2동,19283,2902
2021,석촌동,32169,4493
2021,삼전동,30695,3988
2021,가락본동,26523,3811
2021,가락1동,27365,3460
2021,가락2동,32406,4280
2021,문정1동,20198,2965
2021,문정2동,29072,4003
2021,잠실본동,28439,3783
2021,잠실4동,21376,2802
2021,잠실6동,16905,2832
2021,잠실7동,9564,2156
2021,잠실2동,35145,3706
2021,잠실3동,34475,5796
2021,장지동,29693,4362
2021,위례동,39206,3062
2022,풍납1동,12910,2829
2022,풍납2동,24426,4030
2022,거여1동,12255,2500
2022,거여2동,23745,4283
2022,마천1동,18618,4320
2022,마천2동,18150,4193
2022,방이1동,15460,2331
2022,방이2동,26354,3634
2022,오륜동,17804,3066
2022,오금동,38037,6820
2022,송파1동,24008,3632
2022,송파2동,18947,3026
2022,석촌동,31602,4687
2022,삼전동,29912,4160
2022,가락본동,25883,4006
2022,가락1동,27521,3815
2022,가락2동,31670,4513
2022,문정1동,19916,3208
2022,문정2동,28841,4173
2022,잠실본동,16713,3010
2022,잠실4동,9427,2237
2022,잠실6동,34876,3923
2022,잠실7동,34143,6077
2022,잠실2동,29102,4623
2022,잠실3동,44613,3583
2022,장지동,28358,3917
2022,위례동,21223,2977
2023,풍납1동,12286,2890
2023,풍납2동,23918,4222
2023,거여1동,12100,2619
2023,거여2동,23653,4575
2023,마천1동,18137,4490
2023,마천2동,17743,4373
2023,방이1동,15231,2464
2023,방이2동,26833,3818
2023,오륜동,17818,3233
2023,오금동,37669,7250
2023,송파1동,23654,3708
2023,송파2동,18674,3193
2023,석촌동,31333,4951
2023,삼전동,29451,4363
2023,가락본동,25489,4276
2023,가락1동,27673,3984
2023,가락2동,31386,4787
2023,문정1동,19673,3368
2023,문정2동,28972,4381
2023,잠실본동,28300,4127
2023,잠실4동,21271,3167
2023,잠실6동,16657,3176
2023,잠실7동,9434,2334
2023,잠실2동,35005,4022
2023,잠실3동,33948,6337
2023,장지동,28672,4928
2023,위례동,45045,3858
