순번,일련번호,수리번호,공설구분,용수형식,용수구분,수압,사용구분,관할서,안전센터,도로명,건물본번,건물부번,우편번호,좌표X,좌표Y,경위도X,경위도Y
1,110083413,440122,사설,지상식,소화전,,양호,송파소방서,잠실119안전센터,올림픽로,300,0,,209279.7409,445982.3528,127.1049753,37.51322013
2,110065754,140090,사설,지상식,소화전,3,양호,송파소방서,현장대응단,오금로,307,0,,211193.2641,444880.8784,127.1266049,37.50327353
3,110066991,200450,공설,지상식,소화전,2.5,양호,송파소방서,거여119안전센터,오금로,524,0,,212996.2247,443716.591,127.1469772,37.49275852
4,110066992,200451,공설,지상식,소화전,3,양호,송파소방서,거여119안전센터,오금로,550,0,,213257.135,443702.1963,127.1499276,37.4926251
5,110066993,200461,공설,지상식,소화전,3,양호,송파소방서,거여119안전센터,오금로,540,0,,213146.0496,443705.6892,127.1486714,37.49265816
6,110066994,200455,공설,지상식,소화전,3,양호,송파소방서,거여119안전센터,성내천로,270,1,,213624.897,444121.0236,127.1540944,37.4963938
7,110066995,400586,공설,지하식,소화전,2.5,양호,송파소방서,잠실119안전센터,석촌호수로20길,30,0,,209117.3163,445044.3926,127.1031263,37.50476979
8,110058353,200330,공설,지상식,소화전,3,양호,송파소방서,거여119안전센터,오금로,560,0,,213348.3424,443700.1283,127.150959,37.49260515
9,110061732,200102,공설,지하식,소화전,2.6,양호,송파소방서,거여119안전센터,오금로53길,39,7,,212692.3465,444293.6197,127.1435505,37.49796235
10,110061754,300280,공설,지하식,소화전,2.7,양호,송파소방서,방이119안전센터,바람드리8길,3,0,,210416.0755,448678.9649,127.1178681,37.53750709
11,110061776,400122,공설,지하식,소화전,2,양호,송파소방서,잠실119안전센터,백제고분로32길,3,19,,208518.0168,444712.9976,127.0963437,37.50178931
12,110058431,100395,공설,지하식,소화전,,양호,송파소방서,현장대응단,마천로25길,2,12,,212407.5498,444856.2777,127.140339,37.50303634
13,110058451,200372,공설,지하식,소화전,2.5,양호,송파소방서,거여119안전센터,오금로56길,7,0,,212525.2573,443800.4159,127.1416523,37.49352037
14,110059976,300285,공설,지상식,소화전,2.6,양호,송파소방서,방이119안전센터,한가람로,476,0,,210358.4902,448871.0878,127.1172191,37.53923895
15,110065710,200280,공설,지상식,소화전,2.5,양호,송파소방서,거여119안전센터,거마로,68,0,,213014.2545,444377.0194,127.1471928,37.49870939
16,110056870,640119,사설,지상식,소화전,,양호,송파소방서,가락119안전센터,중대로,24,0,,210545.4989,443360.2282,127.1192563,37.48957856
17,110066868,400579,공설,지하식,소화전,2.5,양호,송파소방서,잠실119안전센터,백제고분로45길,21,7,,209636.3506,445591.937,127.1090043,37.50969844
19,110059812,400537,공설,다용도소화전,소화전,2,양호,송파소방서,잠실119안전센터,백제고분로,290,0,,208735.7413,444763.7276,127.0988069,37.5022444
20,110060048,600073,공설,지상식,소화전,2.5,양호,송파소방서,가락119안전센터,중대로,80,0,,210352.424,443529.9828,127.1170753,37.49111041
21,110062901,400149,공설,지하식,소화전,2.7,양호,송파소방서,잠실119안전센터,가락로21길,37,0,,209821.2398,445062.2457,127.1110886,37.50492344
22,110058509,600219,공설,지하식,소화전,2.5,양호,송파소방서,가락119안전센터,송이로4길,10,0,,210132.0847,444884.534,127.1146021,37.50331872
23,110064285,600035,공설,지하식,소화전,2.5,양호,송파소방서,가락119안전센터,송이로14길,15,4,,210365.785,444307.6919,127.1172373,37.4981182
24,110056675,440063,사설,지상식,소화전,2.5,양호,송파소방서,잠실119안전센터,,,,,209208.6292,446396.2849,127.104176,37.51695078
25,110055323,240019,사설,지상식,소화전,2.5,양호,송파소방서,거여119안전센터,양산로4길,16,0,,212840.7049,443327.5551,127.1452116,37.48925509
26,110062991,500069,공설,지상식,소화전,2.6,양호,송파소방서,종합운동장119안전센터,백제고분로,115,0,,207061.7917,445260.1313,127.0798783,37.50673182
27,110062910,400271,공설,지하식,소화전,2.2,양호,송파소방서,잠실119안전센터,백제고분로40길,29,0,,209522.5385,444738.4642,127.1077058,37.50200898
28,110060006,300328,공설,지상식,소화전,2.8,양호,송파소방서,방이119안전센터,풍성로,12,0,,210053.904,448413.8686,127.1137661,37.53512234
29,110064397,200111,공설,지하식,소화전,2.8,양호,송파소방서,거여119안전센터,거마로,21,0,,212837.8848,443964.7074,127.1451908,37.49499651
30,110066715,100474,공설,지하식,소화전,2.5,고장(사용가),송파소방서,현장대응단,위례성대로22나길,3,16,,211546.5998,445543.1655,127.1306118,37.50923704
31,110066827,500251,공설,지하식,소화전,2,양호,송파소방서,종합운동장119안전센터,백제고분로17길,30,1,,207573.3425,445431.1257,127.0856663,37.5082686
32,110066642,200406,공설,지하식,소화전,3,양호,송파소방서,거여119안전센터,성내천로,154,0,,212882.2759,444426.3814,127.1457009,37.49915604
33,110083412,440121,사설,지상식,소화전,,양호,송파소방서,잠실119안전센터,올림픽로35길,125,0,,208881.2232,446314.5184,127.1004712,37.51621719
34,110055182,300445,공설,지하식,소화전,2.5,양호,송파소방서,방이119안전센터,풍성로2길,23,0,,209939.4251,448231.8895,127.1124683,37.53348377
35,110060087,300017,공설,지상식,소화전,2,양호,송파소방서,방이119안전센터,양재대로,1218,0,,211590.8868,445721.6961,127.1311155,37.51084522
36,110063169,100197,공설,지하식,소화전,2.3,양호,송파소방서,현장대응단,송파대로22길,21,0,,210991.2842,443218.7996,127.1242955,37.48829895
37,110063108,400241,공설,지하식,소화전,2.2,양호,송파소방서,잠실119안전센터,삼학사로18길,13,0,,208643.7218,445027.3236,127.0977692,37.50462053
38,110061567,200127,공설,지하식,소화전,2.8,양호,송파소방서,거여119안전센터,양산로10길,22,0,,212925.2699,443602.7733,127.1461727,37.49173391
39,110058464,400513,공설,지하식,소화전,2.5,양호,송파소방서,잠실119안전센터,가락로5길,17,0,,208973.0655,444599.0139,127.1014892,37.50075789
40,110059896,400176,공설,지하식,소화전,2.6,양호,송파소방서,잠실119안전센터,백제고분로41길,20,0,,209501.9356,445374.8073,127.107481,37.50774328
41,110058302,300528,공설,지하식,소화전,3,양호,송파소방서,방이119안전센터,위례성대로6길,5,0,,210502.5626,446129.3424,127.1188103,37.51453154
42,110056708,400440,공설,지상식,소화전,2.5,양호,송파소방서,잠실119안전센터,백제고분로,254,0,,208356.7707,444781.4348,127.0945207,37.50240747
43,110067914,200476,공설,지상식,소화전,3,양호,송파소방서,거여119안전센터,오금로,484,0,,212614.9859,443810.3015,127.1426673,37.49360823
44,110066875,100482,공설,지하식,소화전,3,양호,송파소방서,현장대응단,송이로34길,9,0,,211642.5009,443023.0398,127.1316567,37.48652697
45,110064445,100218,공설,지상식,소화전,2.5,양호,송파소방서,현장대응단,문정로,227,0,,212464.9516,444344.0872,127.1409795,37.49842021
46,110056829,640076,사설,지상식,소화전,2.3,양호,송파소방서,가락119안전센터,오금로,310,0,,211195.6993,444800.3835,127.1266312,37.50254816
47,110065531,400393,공설,지하식,소화전,3.5,양호,송파소방서,잠실119안전센터,오금로16길,26,0,,209526.6323,445572.8657,127.1077629,37.50952773
48,110065550,200246,공설,지하식,소화전,2.5,양호,송파소방서,거여119안전센터,오금로59길,4,0,,212729.0109,443815.2344,127.1439569,37.49365112
49,110085428,100595,공설,지상식,소화전,2.8,양호,송파소방서,현장대응단,위례광장로,163,0,,212224.2219,442173.1978,127.1382208,37.47886151
50,110058230,240034,사설,지상식,소화전,3,양호,송파소방서,거여119안전센터,오금로56길,16,0,,212589.1618,443709.125,127.1423735,37.49269688
