wrinvstg_no,fire_type_nm,buld_srtfrm,buld_strctr,buld_srtrf,buld_strct_dong_cnt,ground_nof,bstory_cnt,totar,bottom_area,buld_sttus_nm,dth_cnt,injpsn_cnt,dth_hnl_dmge_cnt,prprty_dmge_amt,fire_ocrn_yr,season_se_nm,qtr_se,fire_ocrn_ymd,fire_ocrn_tm,fire_ocrn_mnth,fire_ocrn_day,fire_ocrn_hour,fire_ocrn_min,daywk,frstt_nm,ward_nm,lfdau_nm,dsp_reqre_time,fire_supesn_time,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se_nm,emd_se_nm,longitude,la,spt_frstt_dist,spt_safe_cnter_dist,spt_lfdau_dist,ign_htsrc_nm,ign_htsrc_sclas_nm,ign_fctr_lclas_nm,ign_fctr_sclas_nm,frst_igobj_lclas_nm,frst_igobj_sclas_nm,ign_mhrls_lclas_nm,ign_mhrls_sclas_nm,cmbs_expobj_lclas_nm,cmbs_expobj_sclas_nm,fclty_place_lclas_nm,fclty_place_mclas_nm,fclty_place_sclas_nm,ign_floor_nm,soot_area,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,vhcle_place,vhcle_ign_bhf,fld_fire_se,fld_fire_ign_bhf,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,time_unit
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,329,96,사용중,0,0,0,1453,2017,겨울,1,20170114,75500,1,14,7,55,토요일,송파소방서,마천119안전센터,마천119안전센터,620,400,서울특별시,송파구,문정동,도시,동,127.1290725,37.4841924,3,3,0,작동기기,불꽃/ 스파크/ 정전기,부주의,불씨/불꽃/화원방치,합성수지,기타(합성수지),,,,,주거,공동주택,다세대주택,5,0,N,N,N,,,,,,-9.9,,3.4,290,44,,2000
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,0,167,59,사용중,0,0,0,349,2017,겨울,1,20170115,185100,1,15,18,51,일요일,송파소방서,마천119안전센터,마천119안전센터,242,300,서울특별시,송파구,오금동,도시,동,127.1405032,37.5039891,3,3,0,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,공동주택,다세대주택,4,0,N,N,N,,,,,,-3.4,,1.5,250,31,,2000
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,276,68,철거중,0,0,0,77,2017,겨울,1,20170116,160900,1,16,16,9,월요일,송파소방서,거여119안전센터,거여119안전센터,327,210,서울특별시,송파구,거여동,도시,동,127.1477497,37.4954443,1,1,0,불꽃/ 불티,용접/ 절단/ 연마,부주의,용접/ 절단/ 연마,위험물등,기타(위험물등),산업장비,그라인더,,,주거,공동주택,다세대주택,1,0,N,N,N,,,,,,3,,1.7,50,18,,2000
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,415,11,사용중,0,0,0,127,2017,겨울,1,20170120,72400,1,20,7,24,금요일,송파소방서,종합운동장119안전센터,종합운동장119안전센터,516,500,서울특별시,송파구,잠실동,도시,동,127.0823628,37.5088667,5,2,0,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,단독주택,다가구주택(원룸포함),2,0,N,N,N,,,,,,-4,,3.3,290,93,6.3,159
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,248,50,사용중,0,0,0,11,2017,겨울,1,20170120,172000,1,20,17,20,금요일,송파소방서,마천119안전센터,마천119안전센터,424,0,서울특별시,송파구,오금동,도시,동,127.1356526,37.5017266,1,1,0,작동기기,불꽃/ 스파크/ 정전기,부주의,기타(부주의),전기/전자,콘센트/ 스위치류,전기설비,기타(전기설비),,,주거,단독주택,단독주택,1,0,N,N,N,,,,,,-3.2,,3.5,290,53,4.3,1293
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,156,53,사용중,0,0,0,103,2017,겨울,1,20170121,150800,1,21,15,8,토요일,송파소방서,방이119안전센터,방이119안전센터,319,200,서울특별시,송파구,풍납동,도시,동,127.1202434,37.5338697,5,4,0,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,합성수지,플라스틱/ PVC/ 비닐/ 장판,배선/배선기구,콘센트,,,주거,단독주택,다가구주택(원룸포함),-1,0,N,N,N,,,,,,-2,0.1,2.4,50,79,2.7,217
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,719,126,사용중,0,0,0,270,2017,겨울,1,20170124,162300,1,24,16,23,화요일,송파소방서,거여119안전센터,거여119안전센터,303,400,서울특별시,송파구,마천동,도시,동,127.1471593,37.4983642,1,1,0,미상(발화원인),미상,미상,미상,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,공동주택,다세대주택,5,0,N,N,N,,,,,,-1.7,,2.9,290,31,2,1854
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,449,47,사용중,0,0,0,33,2017,겨울,1,20170125,21300,1,25,2,13,수요일,송파소방서,거여119안전센터,거여119안전센터,354,0,서울특별시,송파구,마천동,도시,동,127.1485278,37.5001968,1,1,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,-1,0,N,N,N,,,,,,-8.5,,2,270,56,1.9,1712
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,448,132,사용중,0,0,0,360,2017,겨울,1,20170126,122100,1,26,12,21,목요일,송파소방서,마천119안전센터,마천119안전센터,510,300,서울특별시,송파구,가락동,도시,동,127.1352237,37.4933255,1,1,0,작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,합성수지,플라스틱/ PVC/ 비닐/ 장판,배선/배선기구,옥내배선용 전선,,,주거,공동주택,다세대주택,1,0,N,N,N,,,,,,-0.4,,2.2,20,46,1.4,936
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,495,0,사용중,0,0,0,40,2017,겨울,1,20170127,202400,1,27,20,24,금요일,송파소방서,방이119안전센터,방이119안전센터,552,359,서울특별시,송파구,방이동,도시,동,127.1101887,37.5121886,4,2,0,작동기기,기기 전도/복사열,부주의,불씨/불꽃/화원방치,침구/직물류,기타(침구/직물류),계절용 기기,전기장판/담요/방석류,,,주거,공동주택,다세대주택,2,0,N,N,N,,,,,,-3.5,,2,270,36,,2000
